EMP_NO,SIGLE,Essence_latin,DHP,Longitude,Latitude
54434,ACPL,Acer platanoides,25,-73.544155,45.46434
54435,ACSC,Acer saccharum,24,-73.544261,45.464375
54436,ACSC,Acer saccharum,27,-73.544403,45.464439
54437,ACSC,Acer saccharum,25,-73.544468,45.464455
54438,ACSC,Acer saccharum,20,-73.544452,45.464418
54439,PIPU,Picea pungens,21,-73.544541,45.464355
54440,FRPE,Fraxinus pennsylvanica,21,-73.544946,45.463775
54442,PIPU,Picea pungens,16,-73.545025,45.463598
54443,PIPU,Picea pungens,20,-73.545005,45.463591
54444,FRPE,Fraxinus pennsylvanica,30,-73.545047,45.463517
54445,FRPE,Fraxinus pennsylvanica,22,-73.545112,45.463401
54446,ACSC,Acer saccharum,30,-73.545078,45.463365
54447,ACSC,Acer saccharum,24,-73.545117,45.463336
54448,ACSC,Acer saccharum,26,-73.545134,45.463309
54449,ACSC,Acer saccharum,28,-73.545083,45.463286
54450,MA,Malus,24,-73.545014,45.463265
54451,MA,Malus,21,-73.544697,45.463206
54452,MA,Malus,25,-73.544553,45.463182
54453,MAXXRB,Malus x 'Robinson',5,-73.54447,45.463185
54454,MA,Malus,28,-73.544452,45.463259
54455,ACPL,Acer platanoides,20,-73.544233,45.463892
54456,ACPL,Acer platanoides,24,-73.544197,45.463864
54458,PIPU,Picea pungens,20,-73.543972,45.463779
54459,GLTR,Gleditsia triacanthos,6,-73.544085,45.463742
54460,TICO,Tilia cordata,20,-73.544018,45.463732
54461,TICO,Tilia cordata,15,-73.543936,45.463716
54462,TICO,Tilia cordata,11,-73.543881,45.463709
54463,GLTR,Gleditsia triacanthos,6,-73.543816,45.463694
54464,TICO,Tilia cordata,17,-73.543741,45.463686
54465,ACSC,Acer saccharum,21,-73.543398,45.463629
54466,ACSC,Acer saccharum,27,-73.543489,45.463628
54467,PIPU,Picea pungens,21,-73.543573,45.463631
54468,PIPU,Picea pungens,22,-73.543613,45.463629
54469,PIPU,Picea pungens,17,-73.543598,45.463619
54470,TICO,Tilia cordata,37,-73.543599,45.463596
54471,TICO,Tilia cordata,28,-73.543632,45.463592
54472,TICO,Tilia cordata,26,-73.543628,45.463524
54473,PIPU,Picea pungens,10,-73.543655,45.463526
54474,PIPU,Picea pungens,24,-73.543667,45.463487
54475,PIPU,Picea pungens,26,-73.543674,45.463477
54476,PIPU,Picea pungens,19,-73.543679,45.463433
54477,PIPU,Picea pungens,25,-73.543702,45.463408
54478,PIPU,Picea pungens,23,-73.543698,45.463339
54479,PIPU,Picea pungens,21,-73.543764,45.463318
54480,PIPU,Picea pungens,23,-73.543781,45.463309
54481,PIPU,Picea pungens,11,-73.543813,45.463277
54482,ACPL,Acer platanoides,26,-73.543849,45.463261
54483,ACPL,Acer platanoides,24,-73.543775,45.463252
54484,TICO,Tilia cordata,28,-73.543737,45.463256
54485,ACPL,Acer platanoides,23,-73.543735,45.463221
54486,ACPL,Acer platanoides,26,-73.543667,45.463218
54487,PIPU,Picea pungens,23,-73.542612,45.465757
54488,PR,Prunus,13,-73.542679,45.465753
54490,PR,Prunus,18,-73.54276,45.465721
54491,ACPL,Acer platanoides,21,-73.542766,45.465678
54492,PR,Prunus,16,-73.542807,45.465687
54493,ACPL,Acer platanoides,23,-73.54281,45.465648
54494,PR,Prunus,15,-73.542884,45.465656
54495,QURU,Quercus rubra,13,-73.542915,45.465607
54496,ACPL,Acer platanoides,24,-73.54292,45.465562
54497,QURU,Quercus rubra,20,-73.542968,45.465593
54498,QURU,Quercus rubra,16,-73.542989,45.465557
54499,QURU,Quercus rubra,20,-73.543048,45.465561
54500,FRPE,Fraxinus pennsylvanica,31,-73.542999,45.465514
54501,QURU,Quercus rubra,12,-73.543052,45.465518
54502,PIPU,Picea pungens,21,-73.54307,45.465479
54503,PIPU,Picea pungens,19,-73.543126,45.465486
